PDB ID,Chain ID,High Resolution Limit,CATH ID [Res Range],Entity ID,Chain Length,Molecular Weight
"148L","E","1.90","1.10.530.40 [1-163]","1","164","18656.40"
"1A4Y","E","2.00","3.10.130.10 [1-123]","2","123","14169.00"
"1A4Y","B","2.00","3.10.130.10 [1-123]","2","123","14169.00"
"1A75","A","1.90","1.10.238.10 [3-108]","1","108","11335.80"
"1APY","C","2.00","","1","162","17293.30"
"1APY","B","2.00","3.60.20.30 [183-323]","2","141","15085.10"
"1APY","A","2.00","","1","162","17293.30"
"1APY","D","2.00","3.60.20.30 [183-323]","2","141","15085.10"
"1AVW","B","1.75","2.80.10.50 [501-677]","2","177","19657.10"
"1AY7","A","1.70","3.10.450.30 [1-96]","1","96","10582.50"
"1B0N","B","1.90","1.10.287.270 [9-39]","2","57","6612.52"
"1B0N","A","1.90","1.10.260.40 [1-108]","1","111","13009.60"
"1B5F","A","1.72","2.40.70.10 [0-238]","1","239","26042.80"
"1B5F","D","1.72","2.40.70.10 [243-326]","2","87","9441.81"
"1B5F","C","1.72","2.40.70.10 [1-238]","1","239","26042.80"
"1B5F","B","1.72","2.40.70.10 [243-326]","2","87","9441.81"
"1BAB","A","1.50","1.10.490.10 [1-142]","1","143","15337.60"
"1BAB","C","1.50","1.10.490.10 [1-142]","1","143","15337.60"
"1BKC","C","2.00","3.40.390.10 [221-474]","1","256","28954.50"
"1BKC","A","2.00","3.40.390.10 [219-473]","1","256","28954.50"
"1BLX","B","1.90","1.25.40.20 [6-165]","2","166","17832.40"
"1C7C","A","1.80","1.10.490.10 [141-283], 1.10.490.10 [1-140]","1","283","30371.80"
"1CCW","A","1.60","3.40.50.280 [1-137]","1","137","14830.00"
"1CCW","C","1.60","3.40.50.280 [1-137]","1","137","14830.00"
"1CG5","B","1.60","1.10.490.10 [1-141]","2","141","16315.60"
"1CG5","A","1.60","1.10.490.10 [1-141]","1","141","15861.10"
"1CKA","A","1.50","2.30.30.40 [134-190]","1","57","6814.54"
"1CSB","E","2.00","3.90.70.10 [50-254]","2","205","22437.90"
"1CSB","B","2.00","3.90.70.10 [50-254]","2","205","22437.90"
"1CT4","I","1.60","3.30.60.30 [6-56]","2","51","5571.26"
"1CZY","C","2.00","2.60.210.10 [334-501]","1","168","19033.00"
"1CZY","B","2.00","2.60.210.10 [334-501]","1","168","19033.00"
"1CZY","A","2.00","2.60.210.10 [334-501]","1","168","19033.00"
"1D0D","A","1.62","4.10.410.10 [1-60]","1","60","6992.61"
"1D2Z","B","2.00","1.10.533.10 [23-172]","2","153","17084.50"
"1D2Z","A","2.00","1.10.533.10 [28-129]","1","108","12446.30"
"1D2Z","D","2.00","1.10.533.10 [23-175]","2","153","17084.50"
"1D2Z","C","2.00","1.10.533.10 [22-129]","1","108","12446.30"
"1D3B","K","2.00","2.30.30.100 [5-75]","1","75","8491.80"
"1D3B","A","2.00","2.30.30.100 [4-75]","1","75","8491.80"
"1D3B","D","2.00","2.30.30.100 [2-87]","2","91","10471.40"
"1D3B","G","2.00","2.30.30.100 [3-75]","1","75","8491.80"
"1D3B","J","2.00","2.30.30.100 [2-87]","2","91","10471.40"
"1D3B","C","2.00","2.30.30.100 [5-75]","1","75","8491.80"
"1D3B","F","2.00","2.30.30.100 [5-87]","2","91","10471.40"
"1D3B","I","2.00","2.30.30.100 [3-75]","1","75","8491.80"
"1D3B","L","2.00","2.30.30.100 [2-91]","2","91","10471.40"
"1D3B","B","2.00","2.30.30.100 [7-87]","2","91","10471.40"
"1D3B","E","2.00","2.30.30.100 [2-75]","1","75","8491.80"
"1D3B","H","2.00","2.30.30.100 [3-88]","2","91","10471.40"
"1D4W","B","1.80","3.30.505.10 [3-104]","1","104","11702.40"
"1D4W","A","1.80","3.30.505.10 [1-104]","1","104","11702.40"
"1DD3","B","2.00","3.30.1390.10 [58-128]","1","128","13475.50"
"1DD3","A","2.00","3.30.1390.10 [58-128]","1","128","13475.50"
"1DDV","A","1.90","2.30.29.30 [6-109]","1","111","12688.20"
"1DGW","Y","1.70","","3","93","10269.40"
"1DGW","X","1.70","","2","79","9073.18"
"1DGW","A","1.70","2.60.120.10 [46-223]","1","178","20640.30"
"1DHK","B","1.85","2.60.120.200 [1-204]","2","223","24813.10"
"1DOW","A","1.80","1.20.120.230 [57-261]","1","205","22694.40"
"1DTD","B","1.65","3.30.1040.10 [6-66]","2","61","6787.65"
"1E1H","D","1.80","4.10.1280.10 [360-415]","2","174","20560.10"
"1E1H","C","1.80","3.90.1240.10 [7-249]","1","287","32153.00"
"1E1H","B","1.80","4.10.1280.10 [360-415]","2","174","20560.10"
"1E1H","A","1.80","3.90.1240.10 [7-249]","1","287","32153.00"
"1E3A","A","1.80","1.10.439.10 [3-149]","1","260","28963.70"
"1E3W","A","2.00","3.40.50.720 [7-261]","1","261","27244.40"
"1E6I","A","1.87","1.20.920.10 [329-439]","1","121","14406.30"
"1E6Y","F","1.60","3.90.320.20 [6002-6248]","3","247","27769.20"
"1E6Y","C","1.60","3.90.320.20 [3002-3248]","3","247","27769.20"
"1EAY","C","2.00","3.30.70.400 [159-225]","2","74","8018.08"
"1EAY","D","2.00","3.30.70.400 [158-226]","2","74","8018.08"
"1EER","B","1.90","2.60.40.10 [24-118], 2.60.40.10 [119-220]","2","227","25186.40"
"1EER","A","1.90","1.20.1250.10 [1-166]","1","166","18471.30"
"1EER","C","1.90","2.60.40.10 [22-118], 2.60.40.10 [119-220]","2","227","25186.40"
"1EEX","E","1.70","3.40.50.10150 [46-223]","2","224","24141.70"
"1EEX","B","1.70","3.40.50.10150 [46-223]","2","224","24141.70"
"1EEX","M","1.70","","3","173","19198.70"
"1EEX","G","1.70","","3","173","19198.70"
"1EF1","B","1.90","2.30.29.30 [201-291], 1.20.80.10 [83-199], 3.10.20.90 [4-82]","1","294","34846.30"
"1EF1","A","1.90","3.10.20.90 [4-82], 1.20.80.10 [83-199], 2.30.29.30 [201-297]","1","294","34846.30"
"1EF1","D","1.90","","2","90","10569.30"
"1EF1","C","1.90","","2","90","10569.30"
"1EG4","A","2.00","1.10.238.10 [211-292], 1.10.238.10 [120-210], 2.20.70.10 [47-84]","2","261","29845.20"
"1ELR","A","1.90","1.25.40.10 [222-349]","1","131","15524.60"
